index,engine_no,cutoff_time,RUL
166,166,2000-10-11 13:10:00,74
167,167,2000-10-12 23:20:00,132
168,168,2000-10-15 04:50:00,7
169,169,2000-10-16 02:10:00,106
170,170,2000-10-17 20:00:00,16
171,171,2000-10-19 05:40:00,213
172,172,2000-10-21 01:20:00,224
173,173,2000-10-25 08:50:00,60
174,174,2000-10-26 19:50:00,220
175,175,2000-10-28 23:20:00,67
176,176,2000-10-30 05:30:00,66
177,177,2000-10-31 17:50:00,90
178,178,2000-11-01 23:50:00,80
179,179,2000-11-05 09:30:00,25
180,180,2000-11-06 16:40:00,182
181,181,2000-11-08 03:30:00,107
182,182,2000-11-10 06:20:00,7
183,183,2000-11-10 15:50:00,140
184,184,2000-11-13 07:30:00,137
185,185,2000-11-14 11:40:00,227
186,186,2000-11-16 15:30:00,79
187,187,2000-11-17 16:10:00,204
188,188,2000-11-19 07:20:00,223
189,189,2000-11-22 04:00:00,50
190,190,2000-11-24 09:30:00,110
191,191,2000-11-26 19:00:00,62
192,192,2000-11-27 20:20:00,100
193,193,2000-11-29 20:40:00,7
194,194,2000-11-30 02:30:00,117
195,195,2000-12-01 08:40:00,95
196,196,2000-12-03 02:40:00,17
197,197,2000-12-03 09:40:00,145
198,198,2000-12-04 16:40:00,123
199,199,2000-12-06 13:30:00,30
200,200,2000-12-07 17:10:00,89
201,201,2000-12-10 00:40:00,134
202,202,2000-12-11 06:20:00,197
203,203,2000-12-14 01:10:00,120
204,204,2000-12-15 17:10:00,91
205,205,2000-12-16 09:30:00,235
206,206,2000-12-18 09:40:00,209
207,207,2000-12-20 00:00:00,358
208,208,2000-12-23 05:40:00,182
209,209,2000-12-24 23:00:00,95
210,210,2000-12-26 02:10:00,99
211,211,2000-12-27 01:30:00,105
212,212,2000-12-27 21:40:00,213
213,213,2000-12-30 17:30:00,3
214,214,2000-12-31 08:50:00,39
215,215,2001-01-03 00:10:00,20
216,216,2001-01-03 11:40:00,195
217,217,2001-01-06 03:20:00,13
218,218,2001-01-07 07:20:00,81
219,219,2001-01-08 22:30:00,36
220,220,2001-01-09 18:10:00,120
221,221,2001-01-11 19:10:00,100
222,222,2001-01-12 16:00:00,177
223,223,2001-01-14 09:40:00,174
224,224,2001-01-16 04:30:00,185
225,225,2001-01-20 06:40:00,14
226,226,2001-01-21 10:00:00,44
227,227,2001-01-22 13:50:00,164
228,228,2001-01-25 09:40:00,36
229,229,2001-01-25 20:20:00,252
230,230,2001-01-28 12:20:00,118
231,231,2001-01-29 20:00:00,122
232,232,2001-01-31 02:10:00,214
233,233,2001-02-02 00:20:00,226
234,234,2001-02-04 10:40:00,83
235,235,2001-02-05 06:40:00,162
236,236,2001-02-07 17:30:00,34
237,237,2001-02-08 07:50:00,160
238,238,2001-02-10 04:40:00,78
239,239,2001-02-11 00:20:00,325
240,240,2001-02-13 14:10:00,103
241,241,2001-02-15 06:10:00,195
242,242,2001-02-17 16:40:00,66
243,243,2001-02-18 12:30:00,274
244,244,2001-02-21 19:10:00,69
245,245,2001-02-22 17:20:00,141
246,246,2001-02-24 01:40:00,108
247,247,2001-02-26 00:30:00,38
248,248,2001-02-27 05:20:00,49
249,249,2001-02-28 14:10:00,107
